"","time",""
"143",2010.71945205479,-0.200002131410789
"144",2010.73863013699,-2.28252794452191
"145",2010.75780821918,0.609804283336674
"146",2010.77698630137,-2.27044008292991
"147",2010.79863013699,-4.13280306156886
"148",2010.81534246575,-2.62732410161677
"149",2010.83452054795,1.21621247628532
"150",2010.85369863014,-1.71537589140219
"151",2010.87260273973,-0.931493455922144
"152",2010.89205479452,-3.2444118460412
"153",2010.91123287671,-8.3487998254648
"154",2010.9304109589,-4.39513616391898
"155",2010.9495890411,-4.37773258563966
"156",2010.97123287671,-5.25169953877445
"157",2010.9904109589,-3.40542190486601
"158",2011.01095890411,-1.28744465450114
"159",2011.0301369863,2.17213828651495
"160",2011.05068493151,-0.333605615943802
"161",2011.06849315068,-1.92539641893708
"162",2011.08767123288,-0.136366570059821
