"","time","y","coal","gas","stocks","oil","temp"
"307",2013.8695890411,4.548,61.9220039176114,28.006,3049.074,79.9014661364041,6.49
"308",2013.88876712329,4.422,62.4070838392513,27.816,3053.912,81.0125270234252,3.9399999998
"309",2013.90794520548,4.448,61.7648358446379,28.166,3080.312,81.6269718527683,3.8833333332
"310",2013.92712328767,4.66,60.6146682870404,28.54,2985.484,81.4794207651874,3.96
"311",2013.94630136986,4.854,62.0120338342586,27.77,2947.396,79.5061477196756,5.1333333332
"312",2013.96547945205,4.958,62.0122663551402,27.786,3013.632,80.5622079439252,6.2433333332
"313",2013.9904109589,5.03,60.3760572071581,27.475,3106.15,81.0882427674326,5.141666667
"314",2014.0095890411,4.7875,58.773024143245,27.27,3078.62,78.658178615983,8.00416666675
"315",2014.02684931507,4.688,61.1212925359567,26.918,3107.308,78.2808216165496,6
"316",2014.04602739726,5.058,62.014407566182,26.52,3155.862,78.6346694951459,3.4166666666
"317",2014.06520547945,5.338,61.0168746704166,26.298,3069.954,78.7821526923302,2.3200000002
"318",2014.08438356164,5.756,60.306706813083,25.028,2995.832,78.8198134372417,2.6166666664
"319",2014.10356164384,6.418,58.5144687917934,24.624,3024.28,79.4086092617903,5.2366666668
"320",2014.12273972603,6.658,57.6152553517937,24.302,3109.65,79.8188061664353,5.6400000002
"321",2014.14191780822,6.944,56.4282905945568,23.444,3137.77,80.2018260451706,6.7033333332
"322",2014.16109589041,6.778,54.9250862709125,23.588,3124.536,79.7987740066105,5.7466666666
"323",2014.1802739726,6.922,53.1808527546199,23.802,3112.23,78.2375633931022,7.9366666668
"324",2014.19945205479,6.254,54.3491077462865,23.588,3042.516,77.2198495894626,8.7500000002
"325",2014.21863013699,6.054,54.489518183924,22.546,3082.26,77.1687514477646,8.8166666668
"326",2014.23780821918,5.062,55.2388838047094,21.464,3156.858,77.9056085762845,8.2666666674
"327",2014.25698630137,4.898,55.5340540383244,20.392,3197.634,77.2817878915742,11.376666666
"328",2014.27616438356,5.292,55.3150942034216,21.422,3135.056,78.0451887677759,10.7466666666
"329",2014.29406392694,5.60333333333333,55.7692771811271,20.9266666666667,3164.92,79.2566670689031,11.4722222243333
